rank_gfa,address_fin,postal_code,postal_office_fin,main_purpose_fi,gross_floor_area,volume,number_of_storeys,apartment_count,heating_method_fi,heating_energy_source_fi,facade_material_fi,load_bearing_material_fi,construction_method_fi,completion_date,usage_status_fi,permanent_building_identifier,property_identifier,lon,lat,building_key
2133,Pakkamestarinkatu 3,00520,HELSINKI,Kerrostalo,5081,15938,14,66,Vesikeskuslämmitys,Kauko- tai aluelämpö,,Betoni,,1974-01-01,Käytetään vakinaiseen asumiseen,103267026C,09101700030001,24.94432942,60.19751836,0ca9241f-6436-48e4-981d-0910c30d77c5
2134,Karhulantie 2,00910,HELSINKI,Kerrostalo,5081,18152,4,84,Vesikeskuslämmitys,Raskas polttoöljy,Tiili,Betoni,,1963-01-01,Käytetään vakinaiseen asumiseen,1020026225,09104502190001,25.10471384,60.2157155,0f0ecfc4-6f1c-436c-a9f6-e42716240c92
2135,Koukkusaarentie 18,00980,HELSINKI,Julkinen rakennus,5080,20260,3,60,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Elementti,1989-11-24,Käytetään vakinaiseen asumiseen,102300151V,09105400700005,25.13422019,60.21519979,373beb9d-3d69-4cd0-af9d-9b28086fa954
2136,Kalevankatu 4 | Yrjönkatu 19,00100,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",5079,21169,6,2,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Paikalla tehty,1938-01-01,Käytetään vakinaiseen asumiseen,1030559992,09100400630009,24.93973882,60.16771685,0ff81eeb-ea3a-48a1-a5f6-eb3f234fdd54
2137,Rullakkotori 1 | Leimasinkatu 15 | Rullakkokatu 4,00240,HELSINKI,Kerrostalo,5079,16690,8,61,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2024-03-08,Käytetään vakinaiseen asumiseen,104036829R,09101701170001,24.92726142,60.21925839,5f279e93-6024-4554-bcdc-e0ebd2f2f34f
2138,Laivalahdenkaari 42,00810,HELSINKI,Kerrostalo,5079,20300,5,56,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Paikalla tehty,1999-12-14,Käytetään vakinaiseen asumiseen,101878144R,09104302560002,25.03039367,60.18658286,bd3b6646-9b0e-4f3d-99c5-0f9525ce1839
2139,Porttikuja 11,00940,HELSINKI,Kerrostalo,5078,16209,7,84,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Paikalla tehty,1965-12-31,Käytetään vakinaiseen asumiseen,101681689F,09104700060003,25.08441979,60.23343185,9f0b90f8-4cf8-4eb2-ab8b-6a5140a569f9
2140,Mechelininkatu 2 | Hietaniemenkatu 17,00100,HELSINKI,Kerrostalo,5076,19716,7,58,Vesikeskuslämmitys,Kauko- tai aluelämpö,,Tiili,,1937-01-01,Käytetään vakinaiseen asumiseen,103199742X,09101304130010,24.92008351,60.17040076,32603186-eef0-4efd-8c6b-1d332d243863
2141,Korkeavuorenkatu 2a | Vuorimiehenkatu 27,00140,HELSINKI,Kerrostalo,5076,21006,6,43,Vesikeskuslämmitys,Kauko- tai aluelämpö,,Betoni,,1936-01-01,Käytetään vakinaiseen asumiseen,103103854S,09100701090013,24.94630709,60.15951951,a5eae82e-fc0c-4ab2-b8c7-af8997328cb8
2142,Iso Roobertinkatu 17-19,00120,HELSINKI,Kerrostalo,5076,21658,4,42,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Tiili,Paikalla tehty,1912-12-31,Käytetään vakinaiseen asumiseen,1030849233,09100500890008,24.94038832,60.16338866,f316b4ea-b49e-43a8-8d4a-86b1b4fa79eb
2143,Maapadontie 11,00640,HELSINKI,Kerrostalo,5074,16000,6,92,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2026-02-25,Käytetään vakinaiseen asumiseen,104157115X,09102801330003,24.9468336,60.23019736,3e9f784f-f4d8-4ad4-b949-1f3f457357b4
2144,Itämerenkatu 18 | Loistokuja 2 | Harmajankatu 1,00180,HELSINKI,Kerrostalo,5073,17510,7,66,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Elementti,1994-11-29,Käytetään vakinaiseen asumiseen,103295054H,09102000110007,24.91177049,60.16305742,0171c64d-5a5d-4ce6-9dce-0f6a4dd8dd4e
2145,Jurmonkuja 4 | Rosalankuja 2,00590,HELSINKI,Kerrostalo,5073,26205,5,78,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Elementti,2017-06-21,Käytetään vakinaiseen asumiseen,103520342V,09104900960001,25.0329037,60.17356974,46d62cf7-3979-47db-82c4-132dde2f1997
2146,Kaarikuja 7,00940,HELSINKI,Kerrostalo,5071,16335,8,72,Vesikeskuslämmitys,Kauko- tai aluelämpö,Lasi,Betoni,Paikalla tehty,1966-12-31,Käytetään vakinaiseen asumiseen,101691480A,09104700220004,25.07990467,60.23929437,2d7a3ee6-eb3c-4628-bb98-2262a90bd073
2147,Louhikkotie 20a,00770,HELSINKI,Kerrostalo,5070,20111,4,84,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,1968-12-31,Käytetään vakinaiseen asumiseen,103140276N,09104102010014,25.07371523,60.25456303,476d8f6a-9247-4c96-a428-27b71c8886c6
2148,Tenderinlenkki 8,00520,HELSINKI,Kerrostalo,5069,17500,9,67,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2021-11-25,Käytetään vakinaiseen asumiseen,1037644765,09101701050007,24.92882569,60.19989979,e83032c1-9e08-45ee-92c6-f402eb374820
2149,Svanströminkuja 5,00870,HELSINKI,Kerrostalo,5067,16831,8,77,Vesikeskuslämmitys,Maalämpöpumppu,Betoni,Betoni,Elementti,2024-12-16,Käytetään vakinaiseen asumiseen,104043454E,09104900800015,25.0433508,60.16675463,8cda2fd7-6216-49e3-884a-ca1835ad8912
2150,Azorienkuja 3,00220,HELSINKI,Kerrostalo,5067,18445,6,52,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2021-03-22,Käytetään vakinaiseen asumiseen,1037267517,09102008290002,24.91207236,60.15290348,ceeab0dc-1356-4aa1-9253-b087c63503eb
2151,Bulevardi 24 | Fredrikinkatu 26,00120,HELSINKI,Kerrostalo,5065,22033,5,52,Vesikeskuslämmitys,Kauko- tai aluelämpö,,Tiili,,1911-01-01,Käytetään vakinaiseen asumiseen,103065351R,09100400850001,24.93717828,60.1639944,79a927d9-6c00-4103-925b-04f543ebcc5e
